Year,ICPSR State Code,Alphanumeric State Code,State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
1982,11,8,Delaware,0.455,0.444,43.30%,"195,726","190,960",430257,441374,1.40%,"2,068","4,626",621,"5,002",
1982,82,12,Hawaii,0.485,0.465,43.10%,"325,459","311,853",671172,724189,7.10%,"1,461",0,0,"1,461",
1982,63,13,Idaho,0.511,0.502,49.30%,"332,237","326,522",650534,662251,1.60%,"1,044",0,0,"1,044",
1982,21,14,Illinois,0.488,0.465,44.30%,"3,856,875","3,673,681",7908220,8284606,4.40%,"14,293",0,0,"14,293",
1982,22,15,Indiana,0.473,0.468,46.30%,"1,834,225","1,817,287",3879314,3921907,0.90%,"8,790",0,0,"8,790",
1982,31,16,Iowa,0.508,0.502,49.60%,"1,050,495","1,038,229",2068844,2094031,0.80%,"2,829","10,625","1,050","9,192",
1982,52,21,Maryland,0.392,0.375,35.90%,"1,190,011","1,139,149",3034834,3174995,3.00%,"11,617","52,603","6,024","43,943",
1982,3,22,Massachusetts,0.503,0.49,46.90%,"2,103,780","2,050,769",4184146,4375262,4.40%,0,0,0,0,
1982,23,23,Michigan,0.493,0.478,46.80%,"3,135,928","3,040,008",6357552,6498711,1.90%,"14,913",0,0,"14,913",
1982,33,24,Minnesota,0.623,0.613,60.30%,"1,834,737","1,804,675",2943169,2993256,1.10%,"2,081","24,320","1,479","15,720",
1982,64,27,Montana,0.576,0.564,55.90%,"328,082","321,062",569629,574592,0.70%,914,0,0,914,
1982,35,28,Nebraska,0.496,0.485,47.80%,"559,422","547,902",1128918,1145316,0.80%,"1,739","9,964",309,"7,030",
1982,65,29,Nevada,0.391,0.387,36.70%,"242,578","240,394",621060,655823,4.40%,"2,753","4,733","1,065","6,185",
1982,4,30,New Hampshire,0.421,0.412,40.50%,"289,057","282,588",686264,698424,1.70%,445,0,0,445,
1982,12,31,New Jersey,0.438,0.42,39.40%,"2,286,925","2,193,945",5224732,5563627,5.40%,"8,191","38,186","10,514","37,798",
1982,66,32,New Mexico,0.455,0.443,42.90%,"417,945","407,466",919311,949133,2.60%,"1,718","3,854","1,206","4,851",
1982,13,33,New York,0.449,0.434,40.00%,"5,437,367","5,254,891",12118685,13150573,7.50%,"27,945",0,"21,062","49,007",
1982,36,35,North Dakota,0.572,0.55,54.60%,"272,876","262,465",476851,480367,0.70%,322,0,0,322,
1982,24,36,Ohio,0.462,0.441,43.60%,"3,551,995","3,395,463",7692059,7793022,1.10%,"17,317",0,0,"17,317",
1982,53,37,Oklahoma,0.391,0.384,37.60%,"901,488","883,130",2302670,2346265,1.20%,"6,500","14,749","1,858","15,733",
1982,72,38,Oregon,0.561,0.55,53.50%,"1,063,913","1,042,009",1895706,1946116,2.40%,"3,900",0,0,"3,900",
1982,5,40,Rhode Island,0.542,0.5,47.40%,"370,928","342,779",684977,723060,4.60%,"1,037","6,501",327,"4,615",
1982,48,41,South Carolina,0.304,0.297,29.20%,"688,300","671,625",2260577,2297223,0.70%,"9,137","16,981","3,175","20,803",
1982,67,45,Utah,0.558,0.551,53.90%,"537,207","530,802",962724,984073,2.20%,0,0,0,0,
1982,6,46,Vermont,0.461,0.454,44.60%,"172,084","169,251",372982,379067,1.60%,0,0,0,0,
1982,73,48,Washington,0.468,0.456,43.60%,"1,404,831","1,368,476",2999997,3138109,3.10%,"6,264","60,142","3,047","39,382",
1982,68,51,Wyoming,0.5,0.49,48.30%,"172,065","168,555",344218,349060,0.90%,702,"1,303",244,"1,598",
1980,0,0,United States,0,0.542,52.60%,,"86,515,221",159635102,164445475,3.50%,"324,410","618,471","168,331","801,977","1,803,021"
1980,81,2,Alaska,0.602,0.587,57.10%,"162,653","158,445",270122,277261,2.00%,822,"1,181",93,"1,506",
1980,61,3,Arizona,0.475,0.462,44.40%,"898,183","873,945",1890167,1968947,3.40%,"4,372","12,584","1,093","11,757",
1980,71,5,California,0.562,0.55,48.90%,"8,775,459","8,587,063",15610966,17551451,10.80%,"24,569",0,"15,253","39,822",
1980,62,6,Colorado,0.591,0.572,55.90%,"1,225,549","1,184,415",2071959,2118092,2.00%,"2,629",0,927,"3,556",
1980,1,7,Connecticut,0.647,0.639,61.00%,"1,423,403","1,406,285",2201356,2305904,3.80%,"4,308","22,981","1,932","17,731",
1980,11,8,Delaware,0.568,0.56,54.70%,"239,136","235,900",421344,430879,1.30%,"1,474","3,762",619,"3,974",
1980,55,9,District of Columbia,0.379,0.372,35.30%,"178,434","175,237",470956,496230,4.50%,"3,145",0,0,"3,145",
1980,82,12,Hawaii,0.492,0.469,43.60%,"318,026","303,287",646583,695906,6.90%,985,0,0,985,
1980,63,13,Idaho,0.704,0.69,67.90%,"446,045","437,431",633624,644004,1.50%,817,0,0,817,
1980,21,14,Illinois,0.619,0.604,57.80%,"4,868,890","4,749,721",7868300,8216218,4.10%,"11,899",0,0,"11,899",
1980,22,15,Indiana,0.592,0.583,57.70%,"2,275,433","2,242,033",3846321,3885473,0.80%,"6,683",0,0,"6,683",
1980,31,16,Iowa,0.635,0.636,62.90%,"1,314,258","1,317,661",2070935,2093321,0.70%,"2,481","8,815",639,"7,528",
1980,52,21,Maryland,0.525,0.52,50.00%,"1,557,709","1,540,496",2964704,3081409,2.70%,"7,731","41,661","6,436","34,998",
1980,3,22,Massachusetts,0.624,0.614,59.00%,"2,566,807","2,524,298",4110721,4281265,4.00%,0,0,0,0,
1980,23,23,Michigan,0.624,0.613,60.00%,"3,978,647","3,909,725",6374955,6514790,1.90%,"15,124",0,0,"15,124",
1980,33,24,Minnesota,0.721,0.712,70.00%,"2,079,451","2,051,980",2882406,2929927,1.00%,"2,001","27,000","1,534","17,035",
1980,64,27,Montana,0.671,0.656,65.10%,"371,976","363,952",554636,559165,0.70%,739,0,0,739,
1980,35,28,Nebraska,0.584,0.575,56.70%,"651,281","640,854",1115142,1129653,0.80%,"1,446","7,980",292,"5,728",
1980,65,29,Nevada,0.519,0.433,41.10%,"297,318","247,885",573118,602463,4.00%,"1,839","4,989","1,052","5,386",
1980,4,30,New Hampshire,0.609,0.581,57.20%,"402,415","383,990",660560,671558,1.60%,326,0,0,326,
1980,12,31,New Jersey,0.585,0.581,54.90%,"2,999,879","2,975,684",5123773,5420255,4.90%,"5,884","29,239","8,911","29,415",
1980,66,32,New Mexico,0.532,0.523,50.90%,"464,848","456,971",873515,897946,2.30%,"1,279","2,794",884,"3,560",
1980,13,33,New York,0.53,0.517,48.00%,"6,359,218","6,201,959",12006100,12932357,6.80%,"21,815",0,"19,652","41,467",
1980,36,35,North Dakota,0.68,0.652,64.80%,"314,525","301,545",462223,465447,0.60%,253,0,0,253,
1980,24,36,Ohio,0.573,0.561,55.40%,"4,378,937","4,283,603",7637813,7732705,1.10%,"13,489",0,0,"13,489",
1980,53,37,Oklahoma,0.542,0.532,52.20%,"1,172,303","1,149,708",2162051,2201257,1.10%,"4,796","14,360","2,232","14,208",
1980,72,38,Oregon,0.643,0.628,61.40%,"1,209,691","1,181,516",1880863,1925651,2.20%,"3,177",0,0,"3,177",
1980,5,40,Rhode Island,0.627,0.616,58.60%,"423,349","416,072",675067,709692,4.30%,813,"5,501",257,"3,821",
1980,48,41,South Carolina,0.424,0.411,40.40%,"922,397","894,071",2176721,2212354,0.60%,"7,862","20,589","3,124","21,281",
1980,67,45,Utah,0.666,0.66,64.60%,"609,691","604,222",915484,934767,2.10%,0,0,0,0,
1980,6,46,Vermont,0.593,0.587,57.80%,"215,500","213,299",363143,369147,1.60%,0,0,0,0,
1980,73,48,Washington,0.606,0.596,57.40%,"1,772,904","1,742,394",2923670,3037193,2.90%,"4,399","12,527","14,669","25,332",
1980,56,49,West Virginia,0.535,0.532,52.80%,"742,150","737,715",1387231,1396595,0.50%,"1,257","2,650",475,"3,057",
1980,68,51,Wyoming,0.554,0.541,53.40%,"181,004","176,713",326644,330784,0.90%,534,940,154,"1,158",
